country,director,genre,imdb_rating,title,year
Ирландия Великобритания США,Пэт О'Коннор,Саундтрек,6.3,Танцы во время Луназы,1998
СССР,Александр Файнциммер,драма / производственный / приключенческий,5.8,Танкер «Дербент»,1941
США Югославия,Божидар Николич ru sr,драма / мелодрама,5.4,Тёмная сторона солнца,1988
Россия Белоруссия,Александр Ефремов,"военный, мелодрама",,Танкист,2016
СССР,"Александр Бланк, Сергей Линков",приключенческий фильм,6.2,Тимур и его команда,
США,,Музыкальный фильм,6.9,Тихая ночь,1937
Индия,Пуджа Бхатт,"драма, триллер, эротика",3.1,Тёмная сторона желания 2,2012
Новая Зеландия,Джеф Мёрфи,фантастика драма,6.7,Тихая Земля,1985
Франция,Андрэ Калметт Шарль ле Баржи,драма,,Тоска,1909
Франция Гаити,Рауль Пек,драма,7.1,Тропический молох,
США,Спайк Ли,драма,6.6,Тропическая лихорадка,1991
Россия,Евгений Татарский,драма,5.6,Тюремный романс,1993
США,Роберт Борис,комедия,5.0,Тюремная биржа,1987
СССР,Николай Розанцев,,5.4,Убит при исполнении,1977
США,Глен Морган,ужасы / триллер / драма,6.1,Уиллард,2003
США,Дэн Милнер,ужасы,3.6,Фантом с глубины 10 000 лиг,1955
СССР Франция,Никита Михалков,притча,7.6,Урга — территория любви,1991
США,Роберт Земекис,комедийная драма,8.8,Форрест Гамп,1994
США,Джозеф Рубен,"триллер, драма",6.9,Форс-мажор,1998
США,Киони Ваксман,боевик,4.4,Хороший человек,2014
США ЮАР,Брюс Бересфорд,комедия,5.0,Хороший человек в Африке,1994
США Канада,Джон Ву,фантастика / боевик,6.3,Час расплаты,2003
Япония,Масаки Кобаяси,драма,7.2,Чёрная река,1957
Великобритания Франция,Лесли Мегахи,криминальный фильм драма исторический фильм,6.6,Час свиньи,1993
США,Джефф Блекнер,триллер фантастика,5.7,Чёрная река,2001
Чехословакия,Карел Стеклы,комедия,7.5,Швейк на фронте,1957
Италия,Ренато Польселли,фильм ужасов,5.3,Чудовище оперы,1964
СССР,Георгий Николаенко,военный драма,6.3,Шёл четвёртый год войны,1983
СССР,Вадим Зобин,"комедия, мелодрама, роуд-муви",6.6,Шофёр на один рейс,1981
"Франция, Италия",Августо Дженина,комедийный фильм,5.5,Шелест,1955
Израиль,Эял Халфон,драматический фильм,7.0,Эта прекрасная страна,2005
Великобритания США,Уилл Гейджер,"драма, мелодрама",7.1,Элвис и Анабелль,2007
США,"Грег Лански (1—3) Лоран Скай (4) Джулия Гранди, Лоран Скай (5, 6, 9) Илья Дромбелд, Лоран Скай (7) Дерек Дозер, Лоран Скай (8)",порнофильм,,Young Fantasies,
Канада,Терри Каннингем,фантастика,3.4,Экспедиция в преисподнюю,2005
США,"Грег Лански (1—7) Лоран Скай (8) Дерек Дозер, Илья Дромбелд, Лоран Скай (9, 10) Дерек Дозер, Джулия Гранди (11) Дерек Дозер, Джулия Гранди, Лоран Скай (12)",порнофильм,,Young & Beautiful,
СССР,Дзидра Ритенберга,молодёжная драма,7.1,Эта опасная дверь на балкон,1976
Франция,Ги Жак,комедия,5.4,Ze фильм,2005
Чехословакия,Иржи Секвенс,"драма, экранизация",6.8,"Эта минута, этот миг",1981
Россия,Святослав Подгаевский,фолк-хоррор,4.7,Яга. Кошмар тёмного леса,2020
Россия,Константин Смирнов,комедия,2.7,Zомбоящик,2018
США,Майк Руис,"электронная, поп",5.2,Starrbooty,2007
США,Рубен Флейшер,постапокалиптическая зомби-комедия,6.7,Zомбилэнд: Контрольный выстрел,2019
США,Дэн О'Коннелл,"порнофильм, ЛГБТ-фильм и лесбийские отношения в искусстве",,«Женщины в поисках женщин»,2002
Россия,Антон Борматов,комедия / мелодрама,4.0,Zолушка,2012
Исландия Новая Зеландия Швейцария,Крэйг Зобел,"научно-фантастический фильм […], постапокалиптический фильм, антиутопический фильм, экранизация романа и драматический фильм",6.0,Z — значит Захария,2015
Великобритания,Донн Алан Пеннебейкер (англ.) ( рус.,"документальный фильм, музыкальный фильм",7.5,Ziggy Stardust and the Spiders from Mars,1973
Россия,Кирилл Кемниц,зомби-комедия трэш,2.2,Zомби каникулы 3D,2013
США,Питер ДеЛуис,"фэнтези, комедия",5.0,Zapped. Волшебное приложение,2014
США Великобритания,Дэнни Бойл,"романтическая комедия, музыкальный фильм, фэнтези",6.8,Yesterday,2019
Польша,Радослав Пивоварский,мелодрама,6.9,Вчера,1985
США,Кайл Муни,комедийный фильм,,Y2K,
США,"Porter Gale, Laleh Soomekh","документальный, короткометражка",7.1,XXXY,2000
США,Остин Чик,Мелодрама,5.9,Логика измены,2002
Великобритания,Морган Мэтьюз,"комедийная драма, подростковый фильм, история взросления и драматический фильм",7.1,X+Y,2014
Аргентина Испания Франция,Лусия Пуэнсо,драма,7.0,Икс-Икс-Игрек,2007
Канада,Нил Бломкамп,Фантастика,5.7,Yellow,2006
США Канада,Тай Уэст,слэшер,6.5,X,2022
Япония,Вонг Карвай,Короткометражное кино,6.1,wkw/tk/1996@7′55″hk.net,1996
,Джон Т. Боун,порнофильм,6.5,World’s Biggest Gang Bang,1995
США,Джером Таннер,порнофильм,7.2,Who’s Nailin’ Paylin?,2008
США,Берт Маркус,документальный,7.0,"То, что мы начали",2017
США,Дэвид Уорк Гриффит,мелодрама,5.5,What the Daisy Said,1910
"Япония, США",Питер Мак,музыка к аниме,5.6,Wicked City,1992
США,Роберт Бака Джош Риззо,документальный фильм,6.2,Welcome to Macintosh,2008
США,Сторми Дэниэлс,порнофильм,6.3,Wanted,2015
Россия,Станислав Говорухин,"детективный триллер, нуар, драма",5.9,Weekend,2013
США,Том ДиЧилло,Документальный,7.6,Когда ты странный,2009
СССР,Иван Василёв,"комедия, эротический фильм",4.1,Veniks. Половые щётки,1991
США Республика Корея,Майкл Кан,криминальная драма,6.0,West 32nd,2007
Япония,Синъя Цукамото,драма / триллер,6.7,Витал,2004
США,см. раздел,порнофильм,,Tushy Raw,
Гонконг,"Джеф Флороу, Эдвин Ли, Шон Се, Маркус Цуй",политический триллер,4.9,Verax,2013
Республика Корея,Пак Хун Джон,триллер,6.6,V.I.P.,2017
США,Кеннет Джонсон,научная фантастика,7.8,V,
США Великобритания Германия,Джеймс Мактиг,боевик фантастический фильм драма антиутопия супергероика,8.2,V — значит вендетта,2005
Малайзия,Амир Мухаммад,документальный,7.1,Village People Radio Show,2007
США,Брэд Фурман,криминал драма триллер,5.6,Va-банк,2013
Россия,Руслан Бальтцер,комедия приключения,3.9,V Центурия. В поисках зачарованных сокровищ,2010
США,Аарон Эйтс Одри Юэлл,Документальный,7.0,Until the Light Takes Us,2009
США,Рики Гринвуд,"порнофильм, драма",,Под вуалью,2021
Канада,Аллан Унгар,боевик приключения короткометражка,8.4,Uncharted,2018
США,Даррен Доан ( Darren Doane ),документальное кино,3.3,Непреодолимый,2013
США,Эндрю Абрахамс,документальный фильм,7.8,Under Our Skin,2008
США,Джон Биндер,научная фантастика,6.2,UFOria,1985
США,Кэтрин Оуэнс Марк Пеллингтон,"концерт, рок-музыка",8.4,U2 3D,2008
Великобритания,Джейми Адамс,триллер,,Turn Up The Sun!,
США,Тони Гиглио,военный триллер,6.0,U-429: Подводная тюрьма,2004
США,Мэйсон,порнофильм,7.4,Tori Black Is Pretty Filthy,2009
США,Роар Утхауг,"приключения, боевик",6.3,Tomb Raider: Лара Крофт,2018
США,Гейл Ферраро,документальный,7.8,To Catch a Dollar,2010
Финляндия Швеция Дания Германия США,Доме Карукоски,"драма, фильм-биография",6.8,Tom of Finland,2017
США,Трей Паркер,комедия,7.0,Искажённое время,1995
Швеция Дания,Ганс Абрамсон,"интерсекс-фильм, драматический фильм и экранизация литературного произведения",5.0,Tintomara,1970
Япония,Кэнтаро Хагивара,"Фэнтези, ужасы, боевик, триллер",5.7,Токийский Гуль,2017
США,Джордж Лукас,фантастика антиутопия драма триллер,6.6,THX 1138,1971
США,Дэвид Уорк Гриффит,драматический фильм,,The Voice of the Child,1911
США,Дэвид Уорк Гриффит,драматический фильм,6.5,The Welcome Burglar,1909
США,Джордж Лесси,драматический фильм,,The Twelfth Juror,1913
США,Ванесса Пэрайз,мелодрама комедия,5.5,"Беверли-Хиллз, 90210: Несанкционированная история",
Швеция,Симон Клозе,Документальный,7.4,TPB AFK,2013
США,Дэвид Уорк Гриффит,драматический фильм,5.5,The Telephone Girl and the Lady,1913
Великобритания,Кен О'Нил Роджер Уотерс,арт-рок,8.6,The Wall: Live in Berlin,1990
США,Дэвид Уорк Гриффит,драматический фильм,5.3,The Rocky Road,1910
США,Берт Кеннеди,,4.4,The Trouble with Spies,1987
США,Мартин Скорсезе,Документальный фильм,7.1,The Rolling Stones. Да будет свет,2008
США,Аллан Дуон,драматический фильм,,The Restless Spirit,1913
США,Оскар Апфель Уильям Ч. де Милль Сесил Б. ДеМилль Томас Н. Хеффрон,драматический фильм,,The Only Son,1914
США,Д. Росс Ледерман,Детективный фильм Комедия,5.5,"Пресловутый Одинокий волк .mw-parser-output .ts-fix-template{white-space:nowrap}.mw-parser-output .ts-fix-error{font-size:inherit}@media screen{.mw-parser-output .ts-fix-text{border:1px solid #a2a9b1;box-decoration-break:clone;margin:0 -0.1em;padding:0 0.1em;transition:background 0.1s}.mw-parser-output .ts-fix-text:hover{background:#fee7e6}}@media screen and (hover:hover){.mw-parser-output .ts-fix-comment,.mw-parser-output .ts-fix-commented>a:not(:hover){border-bottom:1px dotted;text-decoration:none}} [ источник не указан 29 дней ]",1946
США,Джеймс Сирл Доули,драматический фильм,5.0,The Old Monk's Tale,1913
Великобритания,Софи Бартез,комедия,5.6,The Pod Generation,2023
США,Оскар Апфель Сесил Б. ДеМилль,драматический фильм,,The Master Mind,1914
США,Дэвид Уорк Гриффит,драматический фильм,,The Old Bookkeeper,1912
США,"Грег Лански (1—9) Дерек Дозер, Лоран Скай (10—11) Лоран Скай (12) Дерек Дозер, Джулия Гранди, Лоран Скай (13) Джулия Гранди, Лоран Скай (14, 15) Джулия Гранди, Лоран Скай, Мэтт и Эрик (16)",порнофильм,,The Art of Anal Sex,
США,Рокки Шенк,псевдодокументальный фильм,8.6,The Nona Tapes,1995
США,Уилл Айзенберг,,6.5,Массово запутанная тайна средней школы,2015
США,Дэвид Уорк Гриффит,комедия,5.5,The Italian Barber,1911
США,Роберт З. Леонард,драматический фильм,5.0,The Master Key,1914
США,Френсис Боггс,драматический фильм,,The New Superintendent,
США,Дэвид Уорк Гриффит,драматический фильм,3.2,Индусский кинжал,1909
США,неизвестно,боевик,4.8,The Gordon Sisters Boxing,1901
Великобритания,Вилли Кристи,"короткометражный фильм, музыкальный фильм",7.8,Окончательный монтаж (Смертельная рана),1983
США,Уильям Диксон,документальное кино,5.8,Боксирующие коты (проф. Уэлтона),1894
США,Дэвид Уорк Гриффит,комедия,4.5,The Englishman and the Girl,1910
США,Дэвид Уорк Гриффит,драматический фильм,4.6,The Eternal Mother,1912
США,Альберт и Дэвид Мэйслес,документальный фильм,8.0,the Beatles. Первый приезд в США,1994
Великобритания США,Рон Ховард,документальный музыкальный,7.8,Битлз: Восемь дней в неделю,2016
Новая Зеландия Великобритания США,Питер Джексон,документальный музыкальный,9.0,The Beatles: Get Back,2021
Индия,Гьян Корреа,драматический фильм,6.0,The Good Road,2013
США,Уильям Хейз,документальный фильм,4.2,The Ball Game,1898
Франция,Леос Каракс,драма,,Strangulation Blues,1980
США,Кэрролл Флеминг,комедия,,The Amateur Detective,1914
США,Уолтер Буф,фантастика,6.6,Загадочный автомобилист,1906
США,Дэвид Уилер,Интерактивное кино / Психологический триллер,5.4,Смертельная нежность,1998
США,Дэвид Уорк Гриффит,боевик,5.2,The Bandit’s Waterloo,1908
США,Сэм Вренч,"Документальное кино, концертный фильм",8.2,Taylor Swift: The Eras Tour,2023
Великобритания,Дэнни Бойл,"Альтернативный рок, хип-хоп, электронная музыка",7.2,T2: Трейнспоттинг,2017
США,Лайам Линч,комедия / мюзикл,6.8,Медиатор судьбы,2006
США,Бри Миллс,"порнографический фильм, драма, комедия",7.1,Teenage Lesbian,2019
США,Томас Инс,драматический фильм,5.3,Sweet Memories,1911
Австрия,Томас Рот,криминальный фильм,6.4,Tatort: Die Kunst des Krieges,2016
Япония,Синобу Ягути,Комедия,7.5,Swing Girls,2004
США,Сэм Данн,документальный фильм,7.5,Та маленькая старая добрая группа из Техаса,2019
Франция,Николя Бенаму Филипп Лашо,комедия,6.7,Superнянь,2014
США,Грег Моттола,комедия,7.6,SuperПерцы,2007
Великобритания,Антон Корбейн,"альтернативный рок, синти-поп, новая волна",8.8,Strange Too,1990
Великобритания,Антон Корбейн,"альтернативный дэнс, синти-поп,",8.7,Strange,1988
США,Грант Даффрин,,7.4,Shrek Retold,2018
Великобритания Германия,Джейми Кинг,Документальный,6.9,Укради этот фильм,2007
США,Бернард Ковальски,ужасы,5.4,SSSSSSS,1973
США,Джон Тёртелтауб,кинокомедия,6.6,Starперцы,2013
США,,рисованный мультфильм,,Глупые Симфонии,
Англия,Антон Корбейн John Merizalde Pasqual Gutierrez,театральный,7.5,Spirits in the Forest,2019
"США, Канада, Австралия",Стив Биндер Дэвид Акомба ( в титрах не указан ),фантастика,2.2,Звёздные войны: Праздничный спецвыпуск,
Гонконг Китай,Уилсон Ип,боевик,6.9,Ша По Лан. Звезды судьбы,2005
Россия,Михаил Бабаханов,эротическая мистификация,,Sex-вампир в России,1996
США,Аксель Браун,"порнографический фильм, супергеройка, порнопародия",4.6,Человек-паук ХХХ: Порно-пародия,2011
Россия,Арман Геворгян Евгений Невский,комедия мелодрама семейный,2.6,"SOS, Дед Мороз, или Всё сбудется!",2015
США,Аксель Браун,"порнографический фильм, порнопародия, супергеройка",5.8,Человек-паук ХХХ 2: Пародия Акселя Брауна,2014
Россия,Андрей И,Подростковая драма,5.6,S.O.S. Спасите наши души,2005
США,"Ice-T, Энди Бейбатт (сорежиссёр)",Документальный,7.1,Нечто из ничего: Искусство рэпа,2012
ФРГ,Александр Кайдановский Сюзанна Бир Годфри Реджио и др.,музыкальный фильм,7.0,Songlines,
США,Аксель Браун,"порнографический фильм, комедия, экшен, порнопародия",5.9,СпайдиПул XXX: пародия Акселя Брауна,2022
Швеция,Пер Симонссон,"биографический фильм, музыкальный фильм и драматический фильм",,Sommartider – Filmen om Gyllene Tider,2024
США,Джо Берлинджер Брюс Синовски,Документальный фильм,7.5,Some Kind of Monster,
США,Эдвин МакКим,драматический фильм,,Should a Woman Divorce?,1914
Аргентина,Мариано Перальта,триллер,3.4,Снафф 102,2007
США,Колин Кэмпбелл,вестерн,,Shotgun Jones,1914
США,"Би Джей Макдонел, Уэйн Ишэм",Трэш-метал,7.0,Slayer: The Repentless Killogy,2019
Франция,"Клод Мюло ( фр. Claude Mulot, в титрах как Frederic Lansac)",порнофильм,5.7,Shocking! Последняя ночь,1976
США,,Журналистское расследование,7.9,Серийный,
Индия,Харджант Гилл,документальный,,Ушедшие Парни,2016
США,Ли Рой Майерс (англ.) ( рус.,порнопародия,6.9,Клиника: XXX Пародия,2009
Россия,Григорий Добрыгин,драма,5.7,Sheena 667,2021
США,Джеймс Франко,документальный фильм,7.1,Saturday Night (англ.),2010
Великобритания,,Рок,7.7,Serious Moonlight,1984
,Ютака Уэмура,Боевик фэнтези,7.5,Saga of Tanya the Evil: The Movie,2019
Великобритания,Уолтер Буф,драма / фэнтези,5.6,"Скрудж, или Призрак Марли",1901
Великобритания,Джерри Тройна,музыкальный фильм,7.3,Ricochet,
США,Дж. Фаррелл МакДональд,драматический фильм,,Rory o’ the Bogs,
США,Кларк Джонсон,боевик криминал триллер,6.1,S.W.A.T.: Спецназ города ангелов,2003
США,Бенни Бум,боевик,5.2,S.W.A.T.: Огненная буря,2011
Индия,Ярагудипати Варада Рао,фольклор,8.8,Sati Sulochana,1934
Франция […] Камбоджа,Ритхи Пань […],"документальный фильм, исторический фильм и военный фильм",7.2,"S-21, машина смерти Красных кхмеров",2003
США,Гарри Спаркс,порнофильм,7.0,Revenge of the Petites,2012
США,Энтони Мэндлер,"короткометражный фильм, видеоклип",8.4,Ride,2012
США,J. T. S. Moore,Документальный,7.3,Revolution OS,2001
Индия,Джоти Саруп,,,Rehguzar,1985
США,Фил Джоану,Документальный фильм,7.6,Rattle and Hum,
Индия,С. С. Раджамаули,боевик,7.8,RRR: Рядом ревёт революция,2022
США,Ларри Чарльз,документальный комедия,7.6,Верующие,2008
США,Лаура Биалис (Laura Bialis),документальный фильм,8.1,Отказник,2007
Япония,Соити Масуи,романтическая драма научная фантастика,8.2,Rascal Does Not Dream of a Dreaming Girl,2019
Великобритания,David Mallet,музыкальный,9.2,P•U•L•S•E,1994
Румыния Франция Бельгия,Кристиан Мунджиу,драматический фильм,7.2,R.M.N.,2022
Япония,Наоёси Сиотани,"аниме, детектив, антиутопия, киберпанк, триллер",7.4,Психопаспорт 3: Первый инспектор,
Великобритания,Уилльям Баркер,приключенческий фильм и немое кино,,Princess Clementina,1911
Колумбия,Спирос Статулопулос,драма,6.7,PVC-1,2007
Италия,Габриеллино Д’Аннунцио Георг Якоби,"драматический фильм, немое кино и экранизация романа",5.9,Quo Vadis,1924
Россия,Gogol’s Wives,документальный фильм,6.0,Pussy против Путина,2013
США,Дэн Трахтенберг,"Боевик, Фантастика",7.1,Portal: No Escape,
Индия,Суман Мукхопадхьяй,криминальный фильм драма триллер,6.2,Posham Pa,2019
США Мексика,Анхель Грасиа,романтическая кинокомедия,5.5,Prada и чувства,2011
США,"Ренци, Алекс де",порнофильм,6.3,Pretty Peaches,1978
США,Грехем Трэвис,порнофильм,6.7,Portrait of a Call Girl,2011
Германия,Карл Риттер,"военный, пропаганда",6.4,Пур ле мерит,1938
Великобритания,Эдриан Мейбен,музыкальный фильм,8.6,Pink Floyd: Live at Pompeii,
Финляндия,,комедийный фильм,6.8,Поросячьи рассказы,
США Франция,Лино ДиСальво,приключения комедия мультфильм,4.9,Playmobil фильм: Через вселенные,2019
Россия,Руфат Гасанов,Документальный,,"O, Sortie!",2010
Индия,Камал,драма,7.1,Perumazhakkalam,2004
Белоруссия,Андрей Курейчик,комедия,4.3,PARTY-zan фильм,2016
Швеция Дания Финляндия,Рубен Эстлунд,драма,7.1,Игра,2011
США,,драматический фильм комедия,5.8,Peeping Tom,1897
Индия,К. В. Редди,фэнтезийный фильм,8.5,Pathala Bhairavi,1951
Франция,Жак Риветт Сюзанна Шиффман,драматический фильм,7.5,Out 1: не прикасайся ко мне,1971
Великобритания,Чарли Лайн,"документальный фильм, экспериментальный кинематограф, несюжетный фильм, однокадровый фильм и протестное искусство",9.2,Paint Drying,2016
США,"Грег Лански (1—10, 12) Илья Дромбелд, Кайден Кросс, Лоран Скай (11) Джулия Гранди, Лоран Скай (13—16, 18) Дерек Дозер, Джулия Гранди, Илья Дромбелд, Лоран Скай (17) Дерек Дозер, Джулия Гранди (19)",порнофильм,,Natural Beauties,
Индия,Р. Н. К. Прасад,драматический фильм,,Naguva Hoovu,1971
Индия,Т. Раджендар,музыкальный фильм и романтический фильм,7.9,Oru Thalai Ragam,1980
США,"Грег Лански (1—13) Дерек Дозер, Кайден Кросс, Лоран Скай (14) Дерек Дозер, Лоран Скай (15)",порнофильм,,My First Interracial,
США,Ричард Лагравенезе,драма / мелодрама,7.0,P. S. Я люблю тебя,2007
Россия,Надежда Михалкова,короткометражный фильм,5.1,"One Mango, Please",2020
США,Роберт М. Янг,драматический фильм,6.0,One Trick Pony,1980
США,Дэвид Уорк Гриффит,драматический фильм,6.6,One Touch of Nature,1909
Великобритания,Джейк Скотт,"документальное кино, фильм-концерт",8.0,Oasis: концерт в Небуорте 1996,2021
ФРГ,Михаэль Ферхёвен,военный фильм и драматический фильм,7.1,o.k.,1970
Великобритания США,Морган Сперлок,документальный фильм музыкальный фильм,4.3,One Direction: Это мы,2013
Япония,Акио Нисидзава,"аниме, биография, драма",6.9,Нитабо: Слава создавшего цугару-дзямисэн,
"Израиль, Украина","Лев Прудкин, Владимир Прудкин","драма, триллер",5.4,NO-ONE,2018
Россия,Олег Фомин,криминальный фильм трагикомедия,6.4,Next (Следующий),
Нидерланды,,немецкая телекомедия,7.2,New Kids,
Италия,Альдо Гримальди,комедийный фильм,5.0,Nel sole,1967
Индия,П. Бхаскаран Раму Кариат,мелодрама,7.8,Neelakuyil,1954
Индия,Вижай,filmi,8.1,Naa Ninna Bidalaare,1979
США,Харольд Энтвистл,драматический фильм,,Mrs. Wiggs of the Cabbage Patch,1914
США Великобритания Франция Филиппины,Скотт Во,"боевик, триллер, драма, криминал",6.4,Need for Speed: Жажда скорости,2014
Дания,Bjornstjerne Reuter Christiansen Jakob Fenger Rasmus Nielsen Superflex,документальный фильм и экспериментальный кинематограф,6.3,Modern Times Forever,2011
США,Дженнифер Сибел Ньюсом,документальный фильм,7.5,Мисс Репрезентация,2011
США,Дэвид Уорк Гриффит,комедия,5.2,Mr. Jones Has a Card Party,1909
"ФРГ, Франция, Люксембург",Барбе Шрёдер,драматический фильм,6.4,More,1969
Эстония,Борис Гуц,политический триллер,5.9,MINSK,2022
Великобритания,Saul Metzstein,документальный фильм,7.4,Micro Men,2009
Великобритания,Грант Ги,документальный фильм,7.4,Meeting People Is Easy,1998
США,Пол Овенс,документальное кино,7.1,Minecraft: История Mojang,2012
Швеция,,,7.5,Minecraft Multiplayer Fun,2010
США Япония,Джордан Вот-Робертс,"боевик, фантастика, приключенческий фильм",,Metal Gear Solid,
США,См. ниже,короткометражка боевик приключения научная фантастика,6.4,Короткометражки Marvel,
Индия,Нарасимха,"боевик, драма, триллер",5.4,Mass Leader,2017
США,Брэдфорд Мэй,драматический фильм и биографический фильм,4.7,Madonna: Innocence Lost,
Нигерия,Seyi Babatope,драматический фильм,5.3,Mama Drama,2020
Индия,С. В. Кумар,боевик научная фантастика детектив,7.2,Maayavan,2017
США,Ол Паркер,мюзикл,6.6,Mamma Mia! 2,2018
США,Курт Кобейн,хоррор психоделика,,Kurt’s Bloody Suicide,1982
США,Нимрод Антал,"хеви-метал, трэш-метал",7.1,Metallica: Сквозь невозможное,2013
США,Дэвид Уорк Гриффит,драма,,Love Finds a Way,1909
Великобритания,Джефф Грант,социальная реклама,7.1,Одинокая вода,1973
Россия,Игорь Твердохлебов,комедия мелодрама,5.3,Love,2021
Франция,Анри Эльман,исторический фильм и драматический фильм,7.3,"Людовик XI, расколотая власть",
Великобритания,Malcolm J Thomson,Музыкальный фильм,6.8,Любить тебя до вторника,1969
Латвия,Аскольд Саулитис,документальный,,Keep smiling!,2003
США,Альберт Мэйслес Брэдли Каплан,документальный,6.5,"Любовь, которую мы даём",2011
Япония,Хидэо Наката,"детектив, боевик",6.0,Л: Изменить мир,2008
Индия,Кришнан-Панджу,"комедия-драма, музыкальный фильм, семейный фильм",6.9,Kuzhandaiyum Deivamum,1965
США,Джонасон Поли Джесси Перротта (помощник режиссёра),,8.5,Live Action Toy Story,2013
Франция,Жиль Леллуш,"драматический фильм, романтический фильм, музыкальный фильм и романтическая комедия",,L’Amour ouf,2024
США,Себастьян Джонс (англ.) ( рус. Рамез Силян,документальный,7.5,Lil Peep: всё для всех,2019
Великобритания,Ян Макартур,музыкальный фильм,7.7,La Carrera Panamericana,1992
Российская империя,Владислав Старевич,немое кино,7.3,Lucanus Cervus,1910
США,"Грег Лански (1—10) Дерек Дозер, Лоран Скай (11) Лоран Скай (12) Джулия Гранди, Лоран Скай (13, 14)",порнофильм,,Interracial Icon,
Турция,Celal Çimen,боевик и детективный фильм,1.7,Kod Adı K.O.Z.,2015
США,Гордон Хесслер,Комедия,4.6,Kiss встречает привидение парка,1978
Великобритания США,Мэттью Вон,"боевик, фантастический триллер, приключение",6.3,King's Man: Начало,2021
Великобритания,Николас Стил,порнопародия и порнофильм,6.6,Женщина-кошка ХХХ,2011
Великобритания США,Мэттью Вон,"боевик, шпионская фантастика, комедия, драма",7.7,Kingsman: Секретная служба,2015
США Великобритания,Мэттью Вон,"Боевик, шпионская фантастика, комедия",6.7,Kingsman: Золотое кольцо,2017
США,Чарли Шмидт,комедия,8.7,«Кот-пианист» («Кошка-пианистка»),
Франция,Дэвид Кейдж,"короткометражный фильм, фантастика",8.2,Кара,2012
Индия США,Ван Партибл - Сайлас Хикки Эндрю Оои CJ See,комедия,5.9,Джонни Браво едет в Болливуд,
США,Томми Оливер,документальный фильм,7.6,Juice WRLD: В бездну,1986
Япония,"Исида, Хидэнори",постапокалиптический фильм,6.6,Kamen Rider Kabuto: God Speed Love,2006
